Pvä;Korkein;Matalin;Päätös;Keskimääräinen;Kok.volyymi;Liikevaihto
29.8.2007;3114,24;3023,3;3110.62;0;;1632161426
28.8.2007;3122,55;3061,36;3064.07;0;;955152533
27.8.2007;3141,36;3113,81;3122.64;0;;610121631
24.8.2007;3121,29;3070,04;3113.76;0;;873556261
23.8.2007;3142,92;3085,54;3098.25;0;;1208358763
22.8.2007;3098,29;3011,7;3091.85;0;;1439328444
21.8.2007;3015,81;2968,49;3011.79;0;;1097233453
20.8.2007;3035,62;2959,31;3006.96;0;;1334312393
17.8.2007;3015,71;2877,84;2959.58;0;;2519195679
16.8.2007;3042,48;2898,51;2924.66;0;;1975806420
15.8.2007;3062,5;3008,26;3043.08;0;;1166541656
14.8.2007;3106,59;3064,31;3068.37;0;;1429236396
13.8.2007;3095,82;2990,22;3091.29;0;;1886735548
10.8.2007;3092,22;2968,3;2990.51;0;;1959155589
9.8.2007;3136,91;3076,55;3092.81;0;;2604245826
8.8.2007;3141,12;3075,38;3135.74;0;;1875192340
7.8.2007;3103,46;3045,57;3075.65;0;;1414208760
6.8.2007;3089,94;3036,98;3045.57;0;;1275231741
3.8.2007;3169,22;3080,57;3090.53;0;;1784421246
2.8.2007;3174,59;3118,67;3155.58;0;;3686207399
1.8.2007;3186,89;3090,45;3117.16;0;;1686252981
31.7.2007;3199,02;3133,01;3191.38;0;;1714419924
30.7.2007;3150,26;3118,86;3129.94;0;;1286543136
27.7.2007;3159,86;3099,07;3122.86;0;;1887920324
26.7.2007;3215,83;3125,97;3129.24;0;;1751973807
25.7.2007;3249,28;3195,87;3197.06;0;;1333401657
24.7.2007;3306,05;3246,33;3251.12;0;;1144721743
23.7.2007;3313,08;3281,02;3300.24;0;;983952971
20.7.2007;3336,34;3296,97;3298.8;0;;1460138614
19.7.2007;3340,03;3304,09;3316.25;0;;1245514072
18.7.2007;3342,04;3316,3;3321.65;0;;1207448460
17.7.2007;3369,69;3335,69;3345.62;0;;965261251
16.7.2007;3386,44;3364,16;3370.71;0;;679601465
